Date,Close
2018-01-02,10079.1
2018-01-03,10116.0
2018-01-04,10314.4
2018-01-05,10411.4
2018-01-08,10398.4
2018-01-09,10426.5
2018-01-10,10428.3
2018-01-11,10435.2
2018-01-12,10462.4
2018-01-15,10467.2
2018-01-16,10520.4
2018-01-17,10474.6
2018-01-18,10432.7
2018-01-19,10479.5
2018-01-22,10584.0
2018-01-23,10609.5
2018-01-24,10563.0
2018-01-25,10595.3
2018-01-26,10595.4
2018-01-29,10555.6
2018-01-30,10428.2
2018-01-31,10451.5
2018-02-01,10399.0
2018-02-02,10211.2
2018-02-05,10064.5
2018-02-06,9810.0
2018-02-07,9976.9
2018-02-08,9756.3
2018-02-09,9639.6
2018-02-12,9771.1
2018-02-13,9650.7
2018-02-14,9686.2
2018-02-15,9714.9
2018-02-16,9832.1
2018-02-19,9806.2
2018-02-20,9895.3
2018-02-21,9823.3
2018-02-22,9876.5
2018-02-23,9822.4
2018-02-26,9902.4
2018-02-27,9900.2
2018-02-28,9840.3
2018-03-01,9738.6
2018-03-02,9531.1
2018-03-05,9590.8
2018-03-06,9586.8
2018-03-07,9599.3
2018-03-08,9646.2
2018-03-09,9686.1
2018-03-12,9727.5
2018-03-13,9691.7
2018-03-14,9688.5
2018-03-15,9684.2
2018-03-16,9761.0
2018-03-19,9664.1
2018-03-20,9681.6
2018-03-21,9630.9
2018-03-22,9487.4
2018-03-23,9393.1
2018-03-26,9381.0
2018-03-27,9473.6
2018-03-28,9555.0
2018-03-29,9600.4
2018-04-03,9549.6
2018-04-04,9513.3
2018-04-05,9740.9
2018-04-06,9682.8
2018-04-09,9742.8
2018-04-10,9763.5
2018-04-11,9735.8
2018-04-12,9747.0
2018-04-13,9767.3
2018-04-16,9766.1
2018-04-17,9803.9
2018-04-18,9857.3
2018-04-19,9868.0
2018-04-20,9884.2
2018-04-23,9922.0
2018-04-24,9883.4
2018-04-25,9858.0
2018-04-26,9902.3
2018-04-27,9925.4
2018-04-30,9980.6
2018-05-02,10088.9
